Hole,including,IntervalStart,IntervalEnd,Over,Ni,Cu,Co,Pt,Pd,Au,Ag,Ni+Cu,NiEq,AuEq,Zone,Easting,Northing,Elevation,Azimuth,Dip,Length
EL-18-39,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396295,6271480,1842,0,-55,1029
EL-18-40,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396966.9,6272039.5,1766.3,0,-45,681
EL-18-41,,16.76,28.38,11.62,0.89,0.48,0.03,0.29,0.51,0.24,5,1.37,1.55,,Central,396183.3,6271507.4,1868.2,315,-70,184
EL-18-41,x,26.52,28.38,1.86,3.42,0.77,0.13,0.24,0.5,0.03,9,4.19,4.42,,Central,396183.3,6271507.4,1868.2,315,-70,184
EL-18-42,,3.5,9,5.5,1.74,0.89,0.05,0.19,0.24,0.13,5.5,2.63,2.5,,Central,396183.4,6271508.4,1868.1,350,-50,127
EL-18-42,x,7.42,8.7,1.28,5.87,2.33,0.17,0.42,0.57,0.18,11.5,8.2,7.86,,Central,396183.4,6271508.4,1868.1,350,-50,127
EL-18-43,,0,6.25,6.25,1.38,0.85,0.04,0.11,0.17,0.08,3.7,2.23,2.04,,Central,396160.4,6271531.4,1869.8,45,-84,222.8
EL-18-43,x,5.46,6.25,0.79,5.21,2.1,0.19,0.23,0.36,0.09,4.4,4.57,6.97,,Central,396160.4,6271531.4,1869.8,45,-84,222.8
EL-18-44,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396966.9,6272037.3,1766.3,0,-80,180.2
EL-18-45,,0,4.44,4.44,6.19,2.06,0.2,0.25,0.46,0.09,3.4,8.25,8.01,,Central,396163.2,6271530.8,1869.6,103,-44.6,108.8
EL-18-46,,29.25,31.29,2.04,0.71,0.36,0.03,0.02,0.03,0.01,1.5,1.07,1,,Northwest/Central,396098,6271537,1904,196,-48,138.7
EL-18-46,,37.5,88.7,51.2,0.72,0.67,0.02,0.17,0.26,0.19,2,1.39,1.31,,Northwest/Central,396098,6271537,1904,196,-48,138.7
EL-19-47,,72.16,123.13,50.97,1.5,0.94,0.05,0.23,0.47,0.17,3.2,2.44,2.18,,L. Discovery,396240.7,6271502,1860,168,-60,533
EL-19-47,x,72.16,106.73,34.57,0.54,0.62,0.03,0.14,0.45,0.13,3.1,1.16,1.02,,L. Discovery,396240.7,6271502,1860,168,-60,533
EL-19-47,x,96.73,99.78,3.05,1.02,0.59,0.08,0.05,0.24,0.04,1.2,1.61,1.48,,L. Discovery,396240.7,6271502,1860,168,-60,533
EL-19-47,x,113.81,123.13,9.32,6.11,2.79,0.16,0.73,0.89,0.45,5.6,9.26,8,,L. Discovery,396240.7,6271502,1860,168,-60,533
EL-19-47,x,115.05,121.65,6.6,7.64,3.18,0.2,0.68,0.85,0.42,6.1,10.82,9.72,,L. Discovery,396240.7,6271502,1860,168,-60,533
EL-19-48,,78,122.5,44.5,1.2,0.79,0.04,0.29,0.56,0.24,2.61,1.99,1.86,,Discovery,396203.1,6271506.6,1866.6,145,-75,150
EL-19-48,x,111.16,120.92,4.76,7.12,3.34,0.2,1.05,2.02,0.69,9.38,10.46,9.66,,Discovery,396203.1,6271506.6,1866.6,145,-75,150
EL-19-53,,65.2,151.66,86.46,1.88,1.32,0.05,0.52,1.08,0.35,3.55,3.2,2.96,,Discovery,396238.6,6271503.2,1860.1,244,-56.5,171
EL-19-53,x,120,150.22,30.22,4.74,3.22,0.13,1.26,2.59,0.82,8.1,7.96,7.32,,Discovery,396238.6,6271503.2,1860.1,244,-56.5,171
EL-19-53,x,131.98,150.22,18.24,7.04,3.81,0.19,1.27,2.69,0.68,7.65,10.85,9.94,,Discovery,396238.6,6271503.2,1860.1,244,-56.5,171
EL-19-54,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396141.3,6271466,1886.5,55,-86.5,414
